Product ID,Product Name,Product Category,Product Style,Price,Discounts Being Offered
8c917558-7b05-4d6d-9590-125c000405b0,Echo Dot 3rd Generation,Home & Garden,Vintage,30.02,Yes
b915f60c-932c-410b-a4ea-97aabc97b19f,Levi's 501 Original Jeans,Electronics,Modern,63.24,Yes
80262abe-f07f-466a-9e4a-557f4b0b7ca6,Philips Hue White LED Smart Bulb,Electronics,Vintage,88.66,Yes
f6c8218d-023c-486b-9a5e-2ae2526403c5,Cuisinart Stainless Steel Toaster,Home & Garden,Classic,36.8,No
34cdec6f-ff8a-405b-b644-4949058e744b,Nike Air Max 270,Clothing,Vintage,20.04,No
d357e89b-3d21-4439-b8c5-9bdaedcac8bf,Sony WH-1000XM4 Wireless Headphones,Electronics,Modern,7.89,No
b0250d15-a5f0-414a-a4e9-86bcc4ae8bb3,Dyson V11 Torque Drive Cordless Vacuum,Electronics,Modern,66.47,Yes
33f22e11-af2d-41c2-b233-d9f088b610c8,Instant Pot Duo 7-in-1 Electric Pressure Cooker,Electronics,Classic,77.53,Yes
687a9470-e335-46df-ad41-e4f48755e076,Samsung 55' Class LED Smart TV,Home & Garden,Vintage,98.54,No
11e86021-9588-4a5e-94b8-9a8078a78e01,Adidas Ultraboost Running Shoes,Electronics,Vintage,85.68,Yes
e3d62803-68d8-4604-92c4-e6c82fa6b78e,Keurig K-Classic Coffee Maker,Home & Garden,Vintage,86.78,No
fa03e8cc-64d1-4bd0-8a05-1ad5351fed3c,Apple iPad Air 10.9-inch,Home & Garden,Modern,38.63,No
f083e389-b887-427a-be2c-cfe4ffb00131,Under Armour Men's Tech 2.0 T-Shirt,Home & Garden,Modern,45.89,No
440710f0-2c0d-49c6-98b8-1ad225200e7f,Bose QuietComfort Noise Cancelling Earbuds,Electronics,Vintage,83.58,Yes
35a53734-aa62-43bd-a8fd-a5eaae7fbb95,Roku Streaming Stick+ HD/4K/HDR,Home & Garden,Modern,17.1,No
39c1d6f3-54e6-4054-a15e-e5fe72368501,Fitbit Charge 4 Fitness and Activity Tracker,Clothing,Modern,36.17,Yes
e2d5832a-1f50-4346-8faa-bc0f0a127c72,Canon EOS Rebel T7 DSLR Camera,Electronics,Vintage,67.35,Yes
a57bd3f9-ed2a-4b12-9fe5-f5e31d8ffeaa,YETI Rambler 20 oz Tumbler,Electronics,Modern,70.48,No
e460ee99-f65d-48f1-86bc-d2738421058e,Microsoft Surface Laptop 3,Electronics,Vintage,68.67,No
c4b12f26-bebe-4763-99a4-ef4f35e9d48e,The North Face Borealis Backpack,Electronics,Vintage,8.07,No
d72306b9-2d47-459e-93b2-6bbf203827fe,Ring Video Doorbell 3,Electronics,Classic,63.86,No
6cdf12f6-1d71-45f0-9c62-e31358cc10fc,Weber Original Kettle Premium Charcoal Grill,Home & Garden,Vintage,53.88,Yes
07e76ec9-020d-46f2-ad16-d3e36f1b856c,KitchenAid Artisan Series 5-Qt. Stand Mixer,Home & Garden,Modern,25.24,Yes
516623dc-97ff-4a7a-a5ca-aec744431dc3,GoPro HERO9 Black,Electronics,Classic,46.76,No
5e91468f-e6de-4e86-bf4e-d691cecf6ebb,Anker PowerCore 10000 Portable Charger,Home & Garden,Vintage,27.72,Yes
436d20b0-594c-400d-a82b-495fde7af06f,JBL Flip 5 Waterproof Portable Bluetooth Speaker,Electronics,Classic,92.61,Yes
00b31bc4-3ff1-491f-b61f-62ac46a8d18d,Nespresso Vertuo Coffee and Espresso Machine,Home & Garden,Modern,69.13,Yes
1b0a9bcb-b729-404f-808d-c1a456fe541c,Calphalon Nonstick 10-Piece Cookware Set,Home & Garden,Vintage,22.74,Yes
8fdb2c97-268c-4b64-aca8-effe9ba68653,iRobot Roomba 675 Robot Vacuum,Home & Garden,Modern,33.1,Yes
5bda466a-a071-4ad9-800d-60a9a2078a45,DEWALT 20V MAX Cordless Drill Combo Kit,Home & Garden,Classic,77.06,No
